sequence	filename
>HGNC=31476&HUGO-Symbol=MIRLET7A1&HUGO-Name=microRNA_let-7a-1&LOCI=[chr9:96938229-96938328:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029476&GENOME=hg19	file588
>NAME=TRNALysTTT&LOCI=[chr19:41748142-41748214:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr19.tRNA9-LysTTT&GENOME=hg19	file333
>NAME=TRNALysCTT&LOCI=[chr19:52425396-52425468:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr19.tRNA6-LysCTT&GENOME=hg19	file332
>NAME=TRNAAlaAGC&LOCI=[chr6:28687481-28687552:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA68-AlaAGC&GENOME=hg19	file331
>HGNC=32022&HUGO-Symbol=MIR362&HUGO-Name=microRNA_362&LOCI=[chrX:49773562-49773646:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029850&GENOME=hg19	file239
>NAME=TRNACysGCA&LOCI=[chr14:73429679-73429750:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr14.tRNA8-CysGCA&GENOME=hg19	file337
>HGNC=31576&HUGO-Symbol=MIR19B2&HUGO-Name=microRNA_19b-2&LOCI=[chrX:133303691-133303806:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029491&GENOME=hg19	file336
>HGNC=10106&HUGO-Symbol=SNORA63&HUGO-Name=small_nucleolar_RNA,_H/ACA_box_63&LOCI=[chr3:186505078-186505232:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002586&GENOME=hg19	file335
>HGNC=31487&HUGO-Symbol=MIR100&HUGO-Name=microRNA_100&LOCI=[chr11:122022927-122023026:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029515&GENOME=hg19	file334
>HGNC=41536&HUGO-Symbol=MIR4455&HUGO-Name=microRNA_4455&LOCI=[chr4:185859527-185859604:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039660&GENOME=hg19	file232
>HGNC=35327&HUGO-Symbol=MIR1261&HUGO-Name=microRNA_1261&LOCI=[chr11:90602279-90602380:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031663&GENOME=hg19	file233
>NAME=TRNAAsnGTT&LOCI=[chr1:161510031-161510104:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA47-AsnGTT&GENOME=hg19	file339
>NAME=TRNAGlyTCC&LOCI=[chr17:8124866-8124937:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA10-GlyTCC&GENOME=hg19	file338
>HGNC=31772&HUGO-Symbol=MIR331&HUGO-Name=microRNA_331&LOCI=[chr12:95702186-95702299:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029895&GENOME=hg19	file236
>NAME=TRNAGluCTC&LOCI=[chr2:96217194-96217265:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr2.tRNA24-GluCTC&GENOME=hg19	file237
>NAME=TRNAGluTTC&LOCI=[chr1:149161628-149161699:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA105-GluTTC&GENOME=hg19	file234
>NAME=TRNAAsnGTT&LOCI=[chr1:148760356-148760429:strand=-&chr1:148598314-148598387:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA107-AsnGTT&GENOME=hg19	file235
>HGNC=31563&HUGO-Symbol=MIR193A&HUGO-Name=microRNA_193a&LOCI=[chr17:29887005-29887112:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029710&GENOME=hg19	file39
>NAME=TRNAHisGTG&LOCI=[chr9:14433938-14434009:strand=-&chr1:145396881-145396952:strand=-&chr1:146544773-146544844:strand=+&chr15:45492611-45492682:strand=-&chr1:147774845-147774916:strand=-&chr15:45493349-45493420:strand=+&chr6:27125906-27125977:strand=+&chr15:45490804-45490875:strand=-&chr1:147753471-147753542:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr15.tRNA1-HisGTG&GENOME=hg19	file38
>HGNC=31637&HUGO-Symbol=MIR34C&HUGO-Name=microRNA_34c&LOCI=[chr11:111384154-111384250:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029840&GENOME=hg19	file31
>NAME=TRNAGlnTTG&LOCI=[chr4:40908743-40908815:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr4.tRNA4-GlnTTG&GENOME=hg19	file30
>HGNC=38186&HUGO-Symbol=MIR4286&HUGO-Name=microRNA_4286&LOCI=[chr8:10524478-10524590:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036248&GENOME=hg19	file33
>HGNC=33686&HUGO-Symbol=MIR941-3&HUGO-Name=microRNA_941-3&LOCI=[chr20:62551075-62551211:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030639&GENOME=hg19	file32
>HGNC=31627&HUGO-Symbol=MIR30C2&HUGO-Name=microRNA_30c-2&LOCI=[chr6:72086653-72086744:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029598&GENOME=hg19	file35
>HGNC=32087&HUGO-Symbol=MIR193B&HUGO-Name=microRNA_193b&LOCI=[chr16:14397814-14397916:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030177&GENOME=hg19	file34
>HGNC=35388&HUGO-Symbol=MIR320D2&HUGO-Name=microRNA_320d-2&LOCI=[chrX:140008327-140008394:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031725&GENOME=hg19	file37
>NAME=TRNAAlaAGC&LOCI=[chr6:28831462-28831533:strand=-&chr6:28806221-28806292:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA101-AlaAGC&GENOME=hg19	file36
>NAME=TRNAValTAC&LOCI=[chrX:18693029-18693101:strand=-&chr11:59318102-59318174:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chrX.tRNA4-ValTAC&GENOME=hg19	file526
>HGNC=31589&HUGO-Symbol=MIR212&HUGO-Name=microRNA_212&LOCI=[chr17:1953555-1953684:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029625&GENOME=hg19	file527
>NAME=TRNASerGCT&LOCI=[chr6:28180815-28180896:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA62-SerGCT&GENOME=hg19	file524
>HGNC=33667&HUGO-Symbol=MIR301B&HUGO-Name=microRNA_301b&LOCI=[chr22:22007260-22007357:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030622&GENOME=hg19	file525
>HGNC=32341&HUGO-Symbol=MIR484&HUGO-Name=microRNA_484&LOCI=[chr16:15737141-15737239:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030159&GENOME=hg19	file489
>NAME=TRNAArgCCT&LOCI=[chr7:139025446-139025518:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr7.tRNA3-ArgCCT&GENOME=hg19	file488
