sequence	filename
>HGNC=31516&HUGO-Symbol=MIR132&HUGO-Name=microRNA_132&LOCI=[chr17:1953192-1953312:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029674&GENOME=hg19	file1039
>HGNC=38205&HUGO-Symbol=MIR3199-2&HUGO-Name=microRNA_3199-2&LOCI=[chr22:28316504-28316609:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_036170&GENOME=hg19	file621
>HGNC=32754&HUGO-Symbol=SNORD92&HUGO-Name=small_nucleolar_RNA,_C/D_box_92&LOCI=[chr2:29136518-29136626:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_003074&GENOME=hg19	file620
>HGNC=10150&HUGO-Symbol=SNORD28&HUGO-Name=small_nucleolar_RNA,_C/D_box_28&LOCI=[chr11:62622083-62622177:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002562&GENOME=hg19	file623
>HGNC=31538&HUGO-Symbol=MIR152&HUGO-Name=microRNA_152&LOCI=[chr17:46114517-46114623:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029687&GENOME=hg19	file622
>HGNC=35326&HUGO-Symbol=MIR548G&HUGO-Name=microRNA_548g&LOCI=[chr4:148265771-148265879:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031662&GENOME=hg19	file625
>HGNC=31478&HUGO-Symbol=MIRLET7A3&HUGO-Name=microRNA_let-7a-3&LOCI=[chr22:46508619-46508712:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029478&GENOME=hg19	file624
>HGNC=10243&HUGO-Symbol=RNY3&HUGO-Name=RNA,_Ro-associated_Y3&LOCI=[chr7:148680837-148680957:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_004392&GENOME=hg19	file627
>HGNC=32800&HUGO-Symbol=MIR548C&HUGO-Name=microRNA_548c&LOCI=[chr12:65016279-65016395:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030347&GENOME=hg19	file626
>HGNC=32801&HUGO-Symbol=MIR548D1&HUGO-Name=microRNA_548d-1&LOCI=[chr8:124360264-124360380:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030382&GENOME=hg19	file629
>NAME=TRNALysTTT&LOCI=[chr1:205443271-205443343:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA55-LysTTT&GENOME=hg19	file628
>HGNC=10212&HUGO-Symbol=RNU5B-1&HUGO-Name=RNA,_U5B_small_nuclear_1&LOCI=[chr15:65597005-65597141:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002757&GENOME=hg19	file937
>HGNC=41838&HUGO-Symbol=MIR4498&HUGO-Name=microRNA_4498&LOCI=[chr12:120593228-120593313:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039719&GENOME=hg19	file936
>HGNC=38952&HUGO-Symbol=MIR3910-2&HUGO-Name=microRNA_3910-2&LOCI=[chr9:94398536-94398637:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_037489&GENOME=hg19	file931
>HGNC=41889&HUGO-Symbol=MIR4785&HUGO-Name=microRNA_4785&LOCI=[chr2:161264311-161264403:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039946&GENOME=hg19	file930
>NAME=TRNAAsnGTT&LOCI=[chr1:145979034-145979107:strand=-&chr1:147520767-147520840:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr1.tRNA113-AsnGTT&GENOME=hg19	file933
>HGNC=32608&HUGO-Symbol=SNORA18&HUGO-Name=small_nucleolar_RNA,_H/ACA_box_18&LOCI=[chr11:93466622-93466773:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002959&GENOME=hg19	file932
>HGNC=37499&HUGO-Symbol=RNU1-6&HUGO-Name=RNA,_U1_small_nuclear_6&LOCI=[chr1:145969260-145969443:strand=-&chr1:147510994-147511177:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030723&GENOME=hg19&MERGED=[HGNC=37500]	file1056
>HGNC=41827&HUGO-Symbol=MIR4747&HUGO-Name=microRNA_4747&LOCI=[chr19:4932689-4932762:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039902&GENOME=hg19	file1057
>NAME=TRNAArgCCT&LOCI=[chr17:73030001-73030073:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA18-ArgCCT&GENOME=hg19	file1054
>HGNC=10216&HUGO-Symbol=RNU5F-1&HUGO-Name=RNA,_U5F_small_nuclear_1&LOCI=[chr1:45187448-45187583:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002753&GENOME=hg19	file1055
