sequence	filename
>HGNC=10218&HUGO-Symbol=SNORD61&HUGO-Name=small_nucleolar_RNA,_C/D_box_61&LOCI=[chrX:135961348-135961440:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002735&GENOME=hg19	file621
>HGNC=10182&HUGO-Symbol=SNORD43&HUGO-Name=small_nucleolar_RNA,_C/D_box_43&LOCI=[chr22:39715047-39715128:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002439&GENOME=hg19	file620
>HGNC=10149&HUGO-Symbol=SNORD27&HUGO-Name=small_nucleolar_RNA,_C/D_box_27&LOCI=[chr11:62622474-62622565:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_002563&GENOME=hg19	file623
>HGNC=31790&HUGO-Symbol=MIR196B&HUGO-Name=microRNA_196b&LOCI=[chr7:27209089-27209192:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_029911&GENOME=hg19	file622
>HGNC=32838&HUGO-Symbol=MIR582&HUGO-Name=microRNA_582&LOCI=[chr5:58999422-58999539:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030308&GENOME=hg19	file625
>NAME=TRNAIleTAT&LOCI=[chr19:39902808-39902900:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr19.tRNA10-IleTAT&GENOME=hg19	file624
>NAME=TRNAValCAC&LOCI=[chr6:27173867-27173939:strand=-]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA157-ValCAC&GENOME=hg19	file627
>HGNC=41893&HUGO-Symbol=MIR548AK&HUGO-Name=microRNA_548ak&LOCI=[chr10:12172749-12172825:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039699&GENOME=hg19	file626
>NAME=TRNALysTTT&LOCI=[chr6:27543846-27543918:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr6.tRNA53-LysTTT&GENOME=hg19	file629
>HGNC=41577&HUGO-Symbol=MIR4792&HUGO-Name=microRNA_4792&LOCI=[chr3:24562843-24562936:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_039955&GENOME=hg19	file628
>HGNC=35325&HUGO-Symbol=MIR1260&HUGO-Name=microRNA_1260&LOCI=[chr14:77732551-77732643:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_031661&GENOME=hg19	file937
>NAME=TRNAGlyGCC&LOCI=[chr1:161493637-161493707:strand=-&chr2:157257659-157257729:strand=-&chr16:70812942-70813012:strand=-&chr16:70823410-70823480:strand=+&chr6:27870686-27870756:strand=-&chr17:8029064-8029134:strand=+]&SOURCE=UCSC&SOURCE-ACCESSION=chr17.tRNA5-GlyGCC&GENOME=hg19	file936
>HGNC=32342&HUGO-Symbol=MIR486&HUGO-Name=microRNA_486&LOCI=[chr8:41517949-41518036:strand=-]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_030161&GENOME=hg19	file931
>HGNC=16649&HUGO-Symbol=SNORD15B&HUGO-Name=small_nucleolar_RNA,_C/D_box_15B&LOCI=[chr11:75115455-75115620:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_000025&GENOME=hg19	file930
>HGNC=10108&HUGO-Symbol=RNU11&HUGO-Name=RNA,_U11_small_nuclear&LOCI=[chr1:28975102-28975256:strand=+]&SOURCE=RefSeq&SOURCE-ACCESSION=NR_004407&GENOME=hg19	file933
